Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
DUSA,180,0,0.00,0,0.00,31.09,180,0
JUNZ,178,0,0.00,0,0.00,25.59,178,0
ACSI,175,0,0.00,0,0.00,45.70,175,0
VFMO,175,0,0.00,0,0.00,117.20,175,0
BGLD,174,0,0.00,0,0.00,20.05,174,0
EMTL,169,0,0.00,0,0.00,40.71,169,0
JBBB,150,0,0.00,0,0.00,45.52,150,0
MSVX,147,0,0.00,0,0.00,23.67,147,0
WUGI,147,0,0.00,0,0.00,46.19,147,0
VFQY,146,0,0.00,0,0.00,110.87,146,0
TMFS,144,0,0.00,0,0.00,27.65,144,0
DSEP,141,0,0.00,0,0.00,33.44,141,0
EWGS,140,0,0.00,0,0.00,60.08,140,0
BUFQ,137,0,0.00,0,0.00,24.60,137,0
XJR,137,0,0.00,0,0.00,34.67,137,0
EWUS,136,0,0.00,0,0.00,33.05,136,0
HYXU,131,0,0.00,0,0.00,46.55,131,0
FDHT,130,0,0.00,0,0.00,19.15,130,0
BOCT,129,0,0.00,0,0.00,35.47,129,0
DUDE,129,0,0.00,0,0.00,20.43,129,0
LJIM,121,0,0.00,0,0.00,25.79,121,0
FDEM,120,0,0.00,0,0.00,22.70,120,0
EMDV,111,0,0.00,0,0.00,46.45,111,0
IBML,110,0,0.00,0,0.00,25.43,110,0
PTEU,109,0,0.00,0,0.00,25.90,109,0
IEDI,107,0,0.00,0,0.00,38.39,107,0
TMDV,105,0,0.00,0,0.00,46.19,105,0
ROMO,102,0,0.00,0,0.00,25.40,102,0
VMOT,102,0,0.00,0,0.00,22.36,102,0
BLKC,100,0,0.00,0,0.00,11.60,100,0
MBND,100,0,0.00,0,0.00,26.77,100,0
MSMR,100,0,0.00,0,0.00,23.79,100,0
NOVZ,100,0,0.00,0,0.00,32.81,100,0
PSMD,100,0,0.00,0,0.00,24.01,100,0
RODE,100,0,0.00,0,0.00,26.08,100,0
KRUZ,97,0,0.00,0,0.00,24.73,97,0
LKOR,97,0,0.00,0,0.00,42.64,97,0
VEGN,96,0,0.00,0,0.00,37.50,95,1
UOCT,93,0,0.00,0,0.00,29.55,93,0
FDEV,90,0,0.00,0,0.00,25.95,90,0
DMAR,76,0,0.00,0,0.00,31.82,76,0
LCF,75,0,0.00,0,0.00,27.80,75,0
AUGZ,70,0,0.00,0,0.00,32.43,70,0
ZECP,64,0,0.00,0,0.00,24.28,64,0
QVOY,56,0,0.00,0,0.00,26.33,56,0
SEPZ,50,0,0.00,0,0.00,31.90,50,0
BAPR,46,0,0.00,0,0.00,34.83,46,0
DOCT,43,0,0.00,0,0.00,34.19,43,0
EGUS,43,0,0.00,0,0.00,29.12,43,0
GDMA,38,0,0.00,0,0.00,29.31,38,0
PBSM,34,0,0.00,0,0.00,32.08,34,0
RVRB,34,0,0.00,0,0.00,22.37,34,0
FMAR,29,0,0.00,0,0.00,34.94,29,0
ESHY,28,0,0.00,0,0.00,18.02,28,0
UNOV,27,0,0.00,0,0.00,30.22,27,0
ATMP,26,0,0.00,0,0.00,19.43,26,0
HEAT,26,0,0.00,0,0.00,26.11,26,0
ESEB,25,0,0.00,0,0.00,16.58,25,0
DFND,24,0,0.00,0,0.00,35.50,24,0
XDJL,21,0,0.00,0,0.00,27.52,21,0
EFNL,20,0,0.00,0,0.00,36.21,20,0
PIT,19,0,0.00,0,0.00,46.90,14,5
IVAL,18,0,0.00,0,0.00,23.57,18,0
EMGC,15,0,0.00,0,0.00,25.60,15,0
PSFM,14,0,0.00,0,0.00,23.86,14,0
GDE,13,0,0.00,0,0.00,24.93,13,0
IAUF,12,0,0.00,0,0.00,58.87,12,0
GDMN,11,0,0.00,0,0.00,25.60,11,0
STLV,11,0,0.00,0,0.00,26.98,11,0
GHTA,10,0,0.00,0,0.00,25.62,10,0
XTOC,10,0,0.00,0,0.00,23.92,10,0
HCRB,8,0,0.00,0,0.00,34.60,8,0
DFHY,7,0,0.00,0,0.00,20.56,7,0
NUDV,7,0,0.00,0,0.00,23.62,7,0
UJAN,6,0,0.00,0,0.00,32.15,6,0
IBHI,5,0,0.00,0,0.00,22.13,5,0
IPDP,5,0,0.00,0,0.00,15.72,5,0
IVRA,4,0,0.00,0,0.00,13.17,4,0
MBBB,4,0,0.00,0,0.00,20.65,4,0
PSMM,4,0,0.00,0,0.00,13.74,4,0
CLSE,3,0,0.00,0,0.00,15.29,3,0
DWAT,3,0,0.00,0,0.00,10.16,3,0
TSLH,3,0,0.00,0,0.00,26.60,3,0
XBJL,3,0,0.00,0,0.00,28.72,3,0
BRLN,2,0,0.00,0,0.00,51.69,2,0
GJAN,2,0,0.00,0,0.00,32.00,2,0
HELX,2,0,0.00,0,0.00,30.31,2,0
IPPP,2,0,0.00,0,0.00,9.28,2,0
